울산광역시 남구 야음장생포동|8939|644.2|1168709|1726569|1169574 1728591;1169726 1728572;1169909 1728664;1170055 1727497;1170084 1726699;1170653 1726174;1171046 1725400;1171015 1724403;1170909 1724430;1169752 1724386;1168788 1724938;1167175 1725524;1166706 1726054;1165967 1726552;1165979 1726919;1166138 1726863;1166198 1726929;1166292 1727786;1166940 1727876;1167777 1728078;1168624 1728629;1168765 1728698;1169309 1728789;1169574 1728591
울산광역시 남구 대현동|32296|27715.3|1165574|1727157|1166169 1726946;1166181 1726906;1166140 1726863;1166053 1726943;1165979 1726921;1165974 1726817;1165967 1726552;1166189 1726380;1166191 1726366;1166143 1726365;1165279 1726828;1165030 1727041;1165035 1727056;1165332 1727661;1165393 1727630;1165685 1727583;1165703 1727586;1165752 1727610;1165990 1727812;1166125 1727919;1166134 1727923;1166371 1727903;1166284 1727769;1166169 1726946
울산광역시 남구 수암동|15838|28096.9|1164925|1726779|1165076 1727314;1165073 1727153;1165033 1727048;1165030 1727041;1164997 1726926;1165063 1726903;1165372 1726796;1165383 1726600;1165362 1726588;1165355 1726581;1165341 1726559;1165317 1726414;1165328 1726381;1165277 1726339;1165261 1726336;1164891 1726293;1164850 1726303;1164652 1726394;1164626 1726444;1164563 1726519;1164555 1726524;1164351 1726520;1164475 1726746;1165076 1727314
울산광역시 남구 선암동|13590|476.2|1167630|1723284|1171017 1719925;1171001 1719914;1170996 1719908;1170691 1719399;1170648 1719269;1170620 1719149;1170594 1719038;1170578 1718970;1170566 1718920;1170521 1718827;1170528 1718858;1170648 1719362;1170716 1719485;1170862 1719726;1170939 1719851;1171555 1720701;1171581 1720736;1171602 1720721;1171598 1720712;1171594 1720705;1171590 1720700;1171378 1720410;1171164 1720122;1171017 1719925
울산광역시 동구 방어동|41433|6667.6|1173282|1722537|1172832 1720807;1172399 1720620;1172393 1720618;1172390 1720618;1172383 1720635;1172614 1720734;1172790 1720809;1172983 1720891;1172990 1720875;1172923 1720846;1172832 1720807
울산광역시 동구 일산동|5325|2308.7|1175219|1724839|1175221 1724989;1176260 1725050;1176271 1724687;1176167 1724529;1176037 1724536;1175909 1724500;1175667 1724397;1175494 1724347;1175449 1724426;1175238 1724244;1175149 1724046;1175230 1723711;1175370 1723552;1175945 1723757;1175941 1723863;1176417 1723566;1176359 1723447;1176293 1723525;1176080 1723461;1175954 1723113;1175837 1722770;1174829 1724036;1174605 1725042;1175221 1724989
울산광역시 동구 화정동|18749|18086.2|1174194|1723846|1174464 1724186;1174683 1724071;1174722 1724062;1174845 1724032;1174908 1724017;1174925 1724007;1174833 1723533;1174551 1723292;1173916 1723426;1173885 1723301;1173705 1723351;1173285 1723809;1173362 1723816;1173523 1723864;1173632 1723924;1173959 1724152;1174119 1724202;1174146 1724210;1174157 1724213;1174212 1724229;1174216 1724228;1174349 1724206;1174356 1724205;1174464 1724186
울산광역시 동구 대송동|10929|3887.8|1173583|1724990|1172760 1726216;1173166 1726063;1173248 1726088;1173312 1726100;1173737 1725977;1174027 1725825;1174065 1725771;1174240 1725112;1174644 1724356;1174464 1724186;1174334 1724208;1174212 1724229;1174146 1724210;1174086 1724191;1173632 1723924;1173362 1723816;1173190 1724158;1173123 1724214;1172738 1724859;1172792 1725209;1172871 1725224;1172921 1725471;1172853 1725805;1172760 1726216
울산광역시 동구 전하1동|15187|2335.7|1175511|1727204|1176314 1729331;1177015 1729228;1177037 1729216;1177075 1729198;1177081 1729194;1177097 1729180;1177090 1729034;1177062 1728975;1176944 1728688;1176966 1728177;1176966 1728170;1176964 1728146;1176969 1728096;1176985 1728017;1177181 1727302;1176904 1727532;1176446 1726900;1176575 1726421;1175911 1725644;1174053 1725795;1173166 1726063;1175260 1726970;1174883 1728501;1176314 1729331
울산광역시 동구 남목1동|8210|2706.4|1173559|1728635|1174483 1729635;1174640 1729474;1174629 1729483;1174512 1729540;1174692 1729073;1174898 1729071;1174899 1728742;1174809 1728600;1174707 1728692;1174076 1728340;1173137 1727502;1172374 1727602;1172653 1728040;1172844 1728561;1172805 1728674;1172953 1729333;1173292 1729468;1173503 1729645;1173586 1729665;1174077 1729419;1174452 1729593;1174355 1729623;1174467 1729681;1174483 1729635
