stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
71303,화봉고등학교,129.3705145,35.595068,1169452.43,1734832.38,100_1169400_1734800,1000_1169000_1734000,울산광역시 북구
71302,화봉고등학교,129.3700851,35.59372743,1169416.35,1734682.94,100_1169400_1734600,1000_1169000_1734000,울산광역시 북구
26104,화봉시장,129.3654476,35.58836893,1169007.45,1734080.56,100_1169000_1734000,1000_1169000_1734000,울산광역시 북구
26103,화봉시장,129.3655203,35.58819516,1169014.4,1734061.41,100_1169000_1734000,1000_1169000_1734000,울산광역시 북구
61302,화봉쌍용예가,129.3675651,35.5937771,1169187.93,1734684.11,100_1169100_1734600,1000_1169000_1734000,울산광역시 북구
26101,화봉중학교앞,129.3599711,35.58818359,1168511.61,1734050.61,100_1168500_1734000,1000_1168000_1734000,울산광역시 북구
26102,화봉중학교앞,129.3598946,35.58838484,1168504.26,1734072.81,100_1168500_1734000,1000_1168000_1734000,울산광역시 북구
40370,화봉초등학교,129.3666554,35.59588085,1169101.08,1734915.91,100_1169100_1734900,1000_1169000_1734000,울산광역시 북구
40371,화봉초등학교,129.3664365,35.59593809,1169081.13,1734921.88,100_1169000_1734900,1000_1169000_1734000,울산광역시 북구
61301,화봉휴먼시아2단지,129.367681,35.59401247,1169197.93,1734710.42,100_1169100_1734700,1000_1169000_1734000,울산광역시 북구
71202,화봉휴먼시아3단지,129.3657166,35.59393844,1169020.11,1734698.83,100_1169000_1734600,1000_1169000_1734000,울산광역시 북구
71201,화봉휴먼시아3단지,129.3655203,35.59403596,1169002.12,1734709.31,100_1169000_1734700,1000_1169000_1734000,울산광역시 북구
40132,화산119센터,129.3344637,35.44153721,1166503.06,1717740.59,100_1166500_1717700,1000_1166000_1717000,울산광역시 울주군
40129,화산119센터,129.3344421,35.44180614,1166500.55,1717770.38,100_1166500_1717700,1000_1166000_1717000,울산광역시 울주군
77409,화산마을,129.293236,35.35845732,1162927.8,1708456.51,100_1162900_1708400,1000_1162000_1708000,울산광역시 울주군
77400,화산마을,129.2933385,35.35858153,1162936.86,1708470.46,100_1162900_1708400,1000_1162000_1708000,울산광역시 울주군
15978,화산보건진료소(기점),129.29323,35.34463471,1162955.03,1706923.29,100_1162900_1706900,1000_1162000_1706000,울산광역시 울주군
15977,화산보건진료소(종점),129.2933101,35.34466896,1162962.24,1706927.22,100_1162900_1706900,1000_1162000_1706000,울산광역시 울주군
77407,화산삼거리,129.293596,35.35829179,1162960.84,1708438.75,100_1162900_1708400,1000_1162000_1708000,울산광역시 울주군
77408,화산삼거리,129.293733,35.35833017,1162973.22,1708443.23,100_1162900_1708400,1000_1162000_1708000,울산광역시 울주군
77401,화산장터,129.2953569,35.34918004,1163139.18,1707430.96,100_1163100_1707400,1000_1163000_1707000,울산광역시 울주군
77402,화산장터,129.2954946,35.34920154,1163151.65,1707433.58,100_1163100_1707400,1000_1163000_1707000,울산광역시 울주군
25002,화암,129.412256,35.47823874,1173485.79,1721945.64,100_1173400_1721900,1000_1173000_1721000,울산광역시 동구
25001,화암,129.4120744,35.47789887,1173470.04,1721907.62,100_1173400_1721900,1000_1173000_1721000,울산광역시 동구
26307,화암,129.4415985,35.63568566,1175803.86,1739462.78,100_1175800_1739400,1000_1175000_1739000,울산광역시 북구
26308,화암,129.4418844,35.63561586,1175829.91,1739455.55,100_1175800_1739400,1000_1175000_1739000,울산광역시 북구
26309,화암입구,129.440218,35.63198924,1175686.94,1739050.27,100_1175600_1739000,1000_1175000_1739000,울산광역시 북구
26310,화암입구,129.4405748,35.63133594,1175720.68,1738978.44,100_1175700_1738900,1000_1175000_1738000,울산광역시 북구
26506,화암중학교,129.4143562,35.4859945,1173659.66,1722809.65,100_1173600_1722800,1000_1173000_1722000,울산광역시 동구
26505,화암중학교,129.4141514,35.48607428,1173640.9,1722818.13,100_1173600_1722800,1000_1173000_1722000,울산광역시 동구
70512,화암촛등공원,129.4110079,35.47630624,1173376.69,1721729.08,100_1173300_1721700,1000_1173000_1721000,울산광역시 동구
