lon,lat,pop
129.26797,35.5508,4146
129.28983,35.54146,2423
129.36014,35.4818,0
129.25665,35.53744,2166
129.25123,35.54203,809
129.25684,35.54645,2838
129.31668,35.50951,38
129.32842,35.54088,2595
129.3227,35.53195,12232
129.32311,35.54998,961
129.38822,35.5039,15
129.34985,35.51351,0
129.34485,35.53612,1171
129.31127,35.51409,2375
129.27299,35.52819,0
129.3225,35.52294,7293
129.31188,35.54113,4661
129.31147,35.52311,1050
129.37636,35.46802,0
129.31137,35.5186,911
129.30095,35.5458,118
129.33944,35.54071,2125
129.32801,35.52286,4573
129.32209,35.50492,20
129.3276,35.50483,0
129.36035,35.49081,0
129.34882,35.46845,0
129.31688,35.51852,3440
129.37158,35.49965,99
129.28973,35.53695,4195
129.30556,35.50516,0
129.31759,35.55006,1427
129.32219,35.50942,16
129.26767,35.53728,64
129.26236,35.54637,3075
129.32791,35.51835,0
129.31168,35.53212,3549
129.31709,35.52753,4130
129.30566,35.50967,9
129.3275,35.50033,0
129.35567,35.52694,0
129.35006,35.52252,0
129.30085,35.5413,2881
129.2789,35.54613,1033
129.3278,35.51384,42
129.2785,35.5281,19
129.29494,35.52335,10
129.35026,35.53153,9
129.26255,35.55538,2292
129.25704,35.55547,3217
129.36628,35.50875,0
129.30536,35.49615,119
129.41513,35.47643,420
129.42085,35.48535,6350
129.41015,35.49905,0
129.4109,35.53059,14
129.43327,35.54375,3804
129.42668,35.49878,2757
129.41545,35.48995,1642
129.41641,35.5305,15
129.42657,35.49428,3900
129.40983,35.48553,3500
129.42106,35.49437,7783
129.40962,35.47652,1224
129.42117,35.49887,4937
129.42096,35.48986,5575
129.42689,35.50779,5145
129.42776,35.54384,6766
129.45565,35.55691,245
129.43241,35.50771,26
129.43262,35.51672,2552
129.43748,35.4896,0
129.4431,35.49401,0
129.4377,35.49861,26
129.42787,35.54835,1686
129.43187,35.48518,434
129.42679,35.50329,3316
129.43219,35.4987,144
129.42646,35.48977,3969
129.42235,35.54843,448
129.42214,35.53942,1513
129.42636,35.48527,2253
129.42138,35.50788,7356
129.45576,35.56142,199
129.45046,35.57052,26
129.43305,35.53474,681
129.43284,35.52573,4170
129.45025,35.56151,20
129.42257,35.55745,0
129.39966,35.52175,524
129.45587,35.56593,87
129.43176,35.48067,119
129.45035,35.56601,0
129.42128,35.50338,2508
129.40528,35.52617,102
129.43197,35.48968,2363
129.427,35.5123,7492
129.45014,35.557,11
129.41609,35.51698,0
129.43208,35.49419,14
129.42192,35.53041,116
129.4323,35.5032,67
129.42754,35.53483,295
129.42203,35.53492,0
129.40994,35.49003,291
129.42224,35.54393,3300
129.41662,35.53951,0
129.45543,35.5479,20
129.43781,35.50311,9
129.43338,35.54826,21
129.43273,35.52122,79
129.42733,35.52582,11793
129.42722,35.52131,1884
129.41577,35.50346,1587
129.42819,35.56186,6
129.41652,35.53501,18
129.43737,35.48509,0
129.45554,35.55241,146
129.43349,35.55276,0
129.40972,35.48102,2815
129.42625,35.48076,8
129.42074,35.48085,1013
129.41555,35.49445,132
129.42181,35.52591,87
129.43295,35.53024,5008
129.42765,35.53934,1083
129.41566,35.49896,2339
129.41684,35.54852,0
129.41523,35.48094,4394
129.42797,35.55285,0
129.42711,35.51681,7636
129.42743,35.53032,1953
129.43251,35.51221,591
129.42149,35.51239,4121
129.411,35.53509,0
129.4216,35.51689,658
129.42808,35.55736,41
129.41534,35.48544,3995
129.40286,35.65692,0
129.39447,35.53535,1769
129.37389,35.59878,108
129.36952,35.64843,0
129.38376,35.54904,2832
129.44096,35.63378,966
129.35859,35.65311,264
129.39468,35.54437,311
129.44604,35.61567,361
129.33609,35.63542,788
129.34651,35.60822,68
