node_id,mobile_id,stop_name,lon,lat,cell_100,cell_1000
USB195025914,25914,효문초등학교,129.3707962,35.56533146,100_1169500_1731500,1000_1169000_1731000
USB195025915,25915,효문입구,129.3713047,35.56189223,100_1169500_1731100,1000_1169000_1731000
USB195025916,25916,효문입구,129.3713991,35.56195149,100_1169600_1731100,1000_1169000_1731000
USB195025918,25918,시민의 발 서비스,129.3676762,35.56535475,100_1169200_1731500,1000_1169000_1731000
USB195025919,25919,시민의 발 서비스,129.3674324,35.56623399,100_1169200_1731600,1000_1169000_1731000
USB195026101,26101,화봉중학교앞,129.3599711,35.58818359,100_1168500_1734000,1000_1168000_1734000
USB195026102,26102,화봉중학교앞,129.3598946,35.58838484,100_1168500_1734000,1000_1168000_1734000
USB195026103,26103,화봉시장,129.3655203,35.58819516,100_1169000_1734000,1000_1169000_1734000
USB195026104,26104,화봉시장,129.3654476,35.58836893,100_1169000_1734000,1000_1169000_1734000
USB195026105,26105,연암초등학교앞,129.3699683,35.58714542,100_1169400_1733900,1000_1169000_1733000
USB195026106,26106,연암초등학교앞,129.3702034,35.58600031,100_1169400_1733800,1000_1169000_1733000
USB195026107,26107,연암동,129.3679297,35.58219868,100_1169200_1733400,1000_1169000_1733000
USB195026108,26108,연암동,129.3691743,35.58280045,100_1169300_1733400,1000_1169000_1733000
USB195026229,26229,달곡마을회관,129.4265106,35.60835225,100_1174400_1736400,1000_1174000_1736000
USB195026230,26230,달곡마을회관,129.4268255,35.60837549,100_1174500_1736400,1000_1174000_1736000
USB195026231,26231,달곡당수나무,129.4219289,35.6088239,100_1174000_1736400,1000_1174000_1736000
USB195026232,26232,달곡당수나무,129.4217983,35.60882902,100_1174000_1736400,1000_1174000_1736000
USB195026301,26301,공암입구,129.4413924,35.64551273,100_1175700_1740500,1000_1175000_1740000
USB195026302,26302,공암입구,129.4415754,35.64550989,100_1175700_1740500,1000_1175000_1740000
USB195026303,26303,신명마을,129.4401735,35.64285482,100_1175600_1740200,1000_1175000_1740000
USB195026304,26304,신명마을,129.4403085,35.64266738,100_1175600_1740200,1000_1175000_1740000
USB195026305,26305,대안입구,129.4401566,35.63998794,100_1175600_1739900,1000_1175000_1739000
USB195026306,26306,대안입구,129.4403473,35.64000615,100_1175600_1739900,1000_1175000_1739000
USB195026307,26307,화암,129.4415985,35.63568566,100_1175800_1739400,1000_1175000_1739000
USB195026308,26308,화암,129.4418844,35.63561586,100_1175800_1739400,1000_1175000_1739000
USB196030227,30227,면허시험장,129.1008882,35.57759664,100_1145000_1732400,1000_1145000_1732000
USB196030228,30228,면허시험장,129.1002767,35.57806251,100_1144900_1732500,1000_1144000_1732000
USB196030229,30229,능산,129.1040834,35.57565745,100_1145300_1732200,1000_1145000_1732000
USB196030230,30230,능산,129.104037,35.57581884,100_1145300_1732200,1000_1145000_1732000
USB196030231,30231,청구골든,129.1072409,35.57217085,100_1145600_1731800,1000_1145000_1731000
USB196030232,30232,청구골든,129.1074273,35.57210775,100_1145600_1731800,1000_1145000_1731000
USB196030233,30233,천전입구,129.10768,35.57084352,100_1145600_1731700,1000_1145000_1731000
USB196030234,30234,천전입구,129.1078856,35.57082821,100_1145700_1731700,1000_1145000_1731000
USB196030235,30235,가지산온천,129.0490486,35.62080745,100_1140200_1737100,1000_1140000_1737000
USB196030237,30237,경동청구,129.1085788,35.5687902,100_1145700_1731400,1000_1145000_1731000
USB196030238,30238,경동청구,129.1083787,35.56952832,100_1145700_1731500,1000_1145000_1731000
USB196030239,30239,남천교,129.1225718,35.56336227,100_1147000_1730900,1000_1147000_1730000
USB196030240,30240,남천교,129.124058,35.56312191,100_1147100_1730800,1000_1147000_1730000
USB196030241,30241,언양알프스시장,129.1242815,35.56288638,100_1147200_1730800,1000_1147000_1730000
USB196030242,30242,언양알프스시장,129.1247482,35.56357606,100_1147200_1730900,1000_1147000_1730000
USB196030243,30243,삽재,129.0550422,35.63216283,100_1140800_1738400,1000_1140000_1738000
USB196030244,30244,삽재,129.0551841,35.63218391,100_1140800_1738400,1000_1140000_1738000
USB196030246,30246,동호그린코아,129.0715877,35.61847075,100_1142300_1736900,1000_1142000_1736000
USB196030247,30247,동호그린코아,129.0718136,35.61836346,100_1142300_1736900,1000_1142000_1736000
USB196030248,30248,궁근정새동네,129.0685535,35.61819073,100_1142000_1736900,1000_1142000_1736000
USB196030249,30249,궁근정새동네,129.0684594,35.61800736,100_1142000_1736800,1000_1142000_1736000
USB196030251,30251,살티,129.0409186,35.61209166,100_1139500_1736200,1000_1139000_1736000
USB196030252,30252,살티,129.0408713,35.61225489,100_1139500_1736200,1000_1139000_1736000
USB196030253,30253,배내입구,129.0314461,35.59524682,100_1138700_1734300,1000_1138000_1734000
USB196030254,30254,배내입구,129.0315976,35.59560943,100_1138700_1734300,1000_1138000_1734000
USB196030256,30256,이천마을입구,129.0135624,35.54379212,100_1137200_1728500,1000_1137000_1728000
USB196030257,30257,주암마을입구,129.0227503,35.56665368,100_1137900_1731100,1000_1137000_1731000
USB196030258,30258,주암마을입구,129.0224022,35.56642556,100_1137900_1731100,1000_1137000_1731000
USB196030259,30259,이천마을입구,129.0133058,35.5443984,100_1137100_1728600,1000_1137000_1728000
USB196030260,30260,철구소,129.0126091,35.54649831,100_1137100_1728800,1000_1137000_1728000
USB196030261,30261,이천분교,129.0128245,35.5404709,100_1137100_1728200,1000_1137000_1728000
USB196030262,30262,이천분교,129.0132893,35.54137281,100_1137100_1728300,1000_1137000_1728000
USB196030263,30263,신불산자연휴양림앞,129.0147782,35.55050236,100_1137200_1729300,1000_1137000_1729000
USB196030264,30264,신불산자연휴양림앞,129.0148495,35.55103086,100_1137300_1729300,1000_1137000_1729000
