stop_id,lon,lat
63508,129.3186668,35.54679697
63507,129.3186878,35.54694362
40410,129.3205483,35.5358198
40409,129.319787,35.53527903
75303,129.3153678,35.51668308
31627,129.0936868,35.52440601
31626,129.0936589,35.52449886
31625,129.0946874,35.52410028
31624,129.0947152,35.52421243
26320,129.4455283,35.61325548
26319,129.4455696,35.61346985
26371,129.4376272,35.63635185
26372,129.4377484,35.63643275
26356,129.437665,35.6285873
26355,129.4373625,35.62896219
26367,129.437008,35.63190882
26366,129.4372445,35.63174523
27902,129.4504566,35.6135391
27901,129.4509066,35.61331588
21609,129.3207467,35.552359
76001,129.2633472,35.55707799
76003,129.2633859,35.55712799
31712,129.3399763,35.54554292
31711,129.3396453,35.5449638
11104,129.3477622,35.55443503
11105,129.346563,35.55466941
14804,129.3534725,35.55689131
67237,129.3450879,35.39174588
67231,129.3353183,35.39651412
67232,129.3354218,35.39664709
63111,129.3139792,35.55632279
15121,129.1354473,35.60293181
15122,129.1355808,35.60298836
15828,129.2933654,35.493866
15827,129.2932089,35.49383056
15826,129.2918128,35.49569082
15825,129.2918009,35.49531124
15830,129.3018803,35.48997866
15829,129.3018852,35.48986194
30545,129.1690761,35.41317975
30546,129.1688978,35.41279476
75406,129.3111635,35.51410716
75405,129.3112664,35.51409203
23516,129.3464653,35.4772596
23515,129.346362,35.47673561
40427,129.3214356,35.50775634
40426,129.3218912,35.50761888
40424,129.321477,35.50777557
15966,129.2856706,35.33927526
15965,129.2855684,35.33930863
77733,129.3186234,35.45449323
77605,129.3187624,35.45459627
15306,129.0764698,35.59002952
15305,129.0763213,35.59002901
66006,129.1802974,35.45870157
66005,129.1800836,35.45840171
65903,129.1846352,35.45622239
15705,129.1849097,35.45621058
15706,129.1848295,35.45611044
65904,129.1849443,35.4562068
66007,129.1836069,35.46026512
66008,129.1837947,35.4601659
15710,129.177138,35.45824922
15709,129.1773093,35.45822438
66003,129.1771444,35.45808015
66009,129.177296,35.45807817
15606,129.1253753,35.57126825
15602,129.1249372,35.57147125
15605,129.1252005,35.57117221
15604,129.1242709,35.57163368
31526,129.2821324,35.43596286
57148,129.0917651,35.23582763
57159,129.0922178,35.23657582
30238,129.1083787,35.56952832
30237,129.1085788,35.5687902
59134,129.0386185,35.33841198
59133,129.0384546,35.33835547
